type,fixed_usdPerTon,capital_usd_intercept,capital_usd_coefficient,kWh_intercept,kWh_coefficient,ng_coefficient,variable_usdPerTon,carbon_g_MJ,can_ccs1,can_ccs2,utilization,purity
smr,70,0,425000,0,570,156.25,90,75,1,1,0.9,low
electrolyzer,230,0,1725000,0,56300,0,0,25,0,0,0.975,high
