type,ccs_capture_rate,fixed_usdPerTon,capital_usdPerTonPerDay,kWh_perTon,ng_mmbtu_per_tonH2,variable_usdPerTon,utilization,purity,min_h2,max_h2,h2_tax_credit
smr,0.6,70,2180000,570,156.25,90,0.9,low,200,1000,0
smr-ptc,0.8,70,2180000,570,156.25,90,0.9,low,200,1000,600
