type,hub,capacity_tonPerDay,fixed_usdPerTonPerDay,capital_usdPerTonPerDay,kWh_perTon,ng_mmbtu_per_tonH2,variable_usdPerTon,co2_emissions_per_h2_tons,can_ccs1,can_ccs2,utilization
smr,baytown,482,70,0,600,165,100,9,1,1,0.9
smr,channelview,241,70,0,600,165,100,9,1,1,0.9
smr,freeport,482,70,0,600,165,100,9,1,1,0.9
smr,laPorte,1264,70,0,600,165,100,9,1,1,0.9
smr,montBelvieu,241,70,0,600,165,100,9,1,1,0.9
smr,pasadena,482,70,0,600,165,100,9,1,1,0.9
smr,portArthur,1927,70,0,600,165,100,9,1,1,0.9
smr,texasCity,3252,70,0,600,165,100,9,1,1,0.9
