,source,destination,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
72,austin_demand_fuelStation,austin_priceFuelStation_4.550000,,,,,,0.0
73,austin_demand_fuelStation,austin_priceFuelStation_4.600000,,,,,,0.0
74,austin_demand_fuelStation,austin_priceFuelStation_4.650000,,,,,,0.0
75,austin_demand_fuelStation,austin_priceFuelStation_4.700000,,,,,,0.0
76,austin_demand_fuelStation,austin_priceFuelStation_4.750000,,,,,,0.0
77,austin_demand_fuelStation,austin_priceFuelStation_4.800000,,,,,,0.0
78,austin_demand_fuelStation,austin_priceFuelStation_4.850000,,,,,,0.0
79,austin_demand_fuelStation,austin_priceFuelStation_4.900000,,,,,,0.0
80,austin_demand_fuelStation,austin_priceFuelStation_4.950000,,,,,,0.0
81,austin_demand_fuelStation,austin_priceFuelStation_5.000000,,,,,,0.0
82,austin_demand_fuelStation,austin_priceFuelStation_5.050000,,,,,,0.0
83,austin_demand_fuelStation,austin_priceFuelStation_5.100000,,,,,,0.0
84,austin_demand_fuelStation,austin_priceFuelStation_5.150000,,,,,,0.0
85,austin_demand_fuelStation,austin_priceFuelStation_5.200000,,,,,,0.0
86,austin_demand_fuelStation,austin_priceFuelStation_5.250000,,,,,,0.0
87,austin_demand_fuelStation,austin_priceFuelStation_5.300000,,,,,,0.0
88,austin_demand_fuelStation,austin_priceFuelStation_5.350000,,,,,,0.0
89,austin_demand_fuelStation,austin_priceFuelStation_5.400000,,,,,,0.0
90,austin_demand_fuelStation,austin_priceFuelStation_5.450000,,,,,,0.0
91,austin_demand_fuelStation,austin_priceFuelStation_5.500000,,,,,,0.0
92,austin_demand_fuelStation,austin_priceFuelStation_5.550000,,,,,,0.0
93,austin_demand_fuelStation,austin_priceFuelStation_5.600000,,,,,,0.0
94,austin_demand_fuelStation,austin_priceFuelStation_5.650000,,,,,,0.0
95,austin_demand_fuelStation,austin_priceFuelStation_5.700000,,,,,,0.0
96,austin_demand_fuelStation,austin_priceFuelStation_5.750000,,,,,,0.0
97,austin_demand_fuelStation,austin_priceFuelStation_5.800000,,,,,,0.0
98,austin_demand_fuelStation,austin_priceFuelStation_5.850000,,,,,,0.0
99,austin_demand_fuelStation,austin_priceFuelStation_5.900000,,,,,,0.0
100,austin_demand_fuelStation,austin_priceFuelStation_5.950000,,,,,,0.0
101,austin_demand_fuelStation,austin_priceFuelStation_6.000000,,,,,,0.0
102,austin_demand_fuelStation,austin_priceFuelStation_6.050000,,,,,,0.0
103,austin_demand_fuelStation,austin_priceFuelStation_6.100000,,,,,,0.0
104,austin_demand_fuelStation,austin_priceFuelStation_6.150000,,,,,,0.0
105,austin_demand_fuelStation,austin_priceFuelStation_6.200000,,,,,,0.0
106,austin_demand_fuelStation,austin_priceFuelStation_6.250000,,,,,,0.0
107,austin_demand_fuelStation,austin_priceFuelStation_6.300000,,,,,,0.0
108,austin_demand_fuelStation,austin_priceFuelStation_6.350000,,,,,,0.0
109,austin_demand_fuelStation,austin_priceFuelStation_6.400000,,,,,,0.0
110,austin_demand_fuelStation,austin_priceFuelStation_6.450000,,,,,,0.0
111,austin_demand_fuelStation,austin_priceFuelStation_6.500000,,,,,,0.0
112,austin_demand_fuelStation,austin_priceFuelStation_6.550000,,,,,,0.0
113,austin_demand_fuelStation,austin_priceFuelStation_6.600000,,,,,,0.0
114,austin_demand_fuelStation,austin_priceFuelStation_6.650000,,,,,,0.0
115,austin_demand_fuelStation,austin_priceFuelStation_6.700000,,,,,,0.0
116,austin_demand_fuelStation,austin_priceFuelStation_6.750000,,,,,,0.0
117,austin_demand_fuelStation,austin_priceFuelStation_6.800000,,,,,,0.0
118,austin_demand_fuelStation,austin_priceFuelStation_6.850000,,,,,,0.0
119,austin_demand_fuelStation,austin_priceFuelStation_6.900000,,,,,,0.0
120,austin_demand_fuelStation,austin_priceFuelStation_6.950000,,,,,,0.0
121,austin_demand_fuelStation,austin_priceFuelStation_7.000000,,,,,,0.0
