producer,prod_capacity,prod_utilization,prod_h,prod_cost_capital,prod_cost_fixed,prod_cost_variable,prod_e_price,prod_ng_price,h2_tax_credit,co2_emissions_rate,ccs_capture_rate,chec_per_ton,prod_checs,ccs_retrofit_variable_costs,co2_emitted,carbon_tax,co2_captured,carbon_capture_tax_credit,total_cost
abilene_production_smr-high,300.0,0.9,236.0103500004043,184145.73007143833,15418.600221578448,21240.931500036386,17580.68532317754,146385.07674070756,162611.13115027855,0.8999999999999998,0.9,0.9,212.40931500036388,0.0,212.40931500036382,0.0,1911.683835003275,95584.19175016375,126575.70095649594
baytown_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,258642.98645163843,298888.2,0.8999999999999998,0.9,0.9,390.42,245964.6,390.4199999999999,0.0,3513.78,175689.0,86246.98265759036
brownsville_production_electrolyzer-RE,250.0,0.4,100.0,81563.69913948546,4552.90879,0.0,208301.27000000002,0.0,300000.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,-5582.122070514539
channelview_production_smr-noCCSExisting,241.0,0.9,216.9,0.0,0.0,21690.0,6418.298102976,129321.49322581921,149444.1,0.8999999999999998,0.9,0.9,195.21,122982.3,195.20999999999995,0.0,1756.89,87844.5,43123.49132879518
chocolateBay_production_smr-high,533.4886555555072,0.9,480.1397899999565,366515.7910899489,30688.522918881416,43212.58109999609,38245.24960040207,310192.6930039056,330816.31530997006,0.8999999999999998,0.9,0.9,432.1258109999609,0.0,432.1258109999608,0.0,3889.1322989996484,194456.6149499824,263581.9074531817
fortWorth_production_smr-high,1308.8923555551078,0.9,1178.003119999597,918826.7185506795,76933.75154961066,106020.28079996373,98274.22292585787,721645.4364622016,811644.1496797223,0.8999999999999998,0.9,0.9,1060.2028079996373,0.0,1060.2028079996371,0.0,9541.825271996737,477091.26359983685,632964.9970087544
freeport_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,259570.1918487456,298888.2,0.8999999999999998,0.9,0.9,390.42,245964.6,390.4199999999999,0.0,3513.78,175689.0,87174.18805469753
killeen_production_smr-high,883.340266666658,0.9,795.0062399999922,614535.3527435588,51455.3061985404,71550.5615999993,63325.749533650625,495529.8515287055,547759.2993599946,0.8999999999999998,0.9,0.9,715.505615999993,0.0,715.5056159999929,0.0,6439.550543999938,321977.52719999687,426659.9950444632
laPorte_production_smr-noCCSExisting,1264.0,0.9,1137.6000000000001,0.0,0.0,113760.00000000001,33662.775112704,678267.0848026369,783806.4000000001,0.8999999999999998,0.9,0.9,1023.8400000000003,645019.2000000001,1023.8399999999999,0.0,9214.560000000001,460728.00000000006,226174.65991534083
montBelvieu_production_smr-noCCSExisting,241.0,0.9,216.9,0.0,0.0,21690.0,6418.298102976,129993.32596286881,149444.1,0.8999999999999998,0.9,0.9,195.21,122982.3,195.20999999999995,0.0,1756.89,87844.5,43795.32406584479
pasadena_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,258642.98645163843,298888.2,0.8999999999999998,0.9,0.9,390.42,245964.6,390.4199999999999,0.0,3513.78,175689.0,86246.98265759036
portArthur_production_smr-noCCSExisting,1927.0,0.9,1734.3,0.0,0.0,173430.0,51319.752881472,1046043.3068099278,1194932.7,0.8999999999999998,0.9,0.9,1560.87,983348.1,1560.8699999999997,0.0,14047.83,702391.5,356816.95969139994
texasCity_production_smr-noCCSExisting,3252.0,0.9,2926.8,0.0,0.0,292680.0,86607.07647667201,1746299.9403615745,2016565.2000000002,0.8999999999999998,0.9,0.9,2634.1200000000003,1659495.6,2634.1199999999994,0.0,23707.08,1185354.0,583163.4168382464
