type,fixed_usdPerTon,capital_usd_intercept,capital_usd_coefficient,kWh_intercept,kWh_coefficient,ng_coefficient,variable_usdPerTon,carbon_g_MJ,utilization,purity,min_h2,max_h2
smr,70,0,425000,0,570,156.25,90,75,0.9,low,200,2500
electrolyzer,230,0,1725000,0,56300,0,0,25,0.975,high,0,10000
