import time: self [us] | cumulative | imported package
import time:       510 |        510 |             pyomo.contrib.appsi.writers.config
import time:       787 |       1297 |           pyomo.contrib.appsi.writers.nl_writer
import time:       687 |        687 |           pyomo.contrib.appsi.writers.lp_writer
import time:       601 |       2584 |         pyomo.contrib.appsi.writers
import time:       778 |       3361 |       pyomo.contrib.appsi.solvers.ipopt
import time:       809 |        809 |       pyomo.contrib.appsi.solvers.cbc
import time:       827 |        827 |       pyomo.contrib.appsi.solvers.cplex
import time:       671 |       6961 |     pyomo.contrib.appsi.solvers
import time:       807 |        807 |     pyomo.contrib.appsi.fbbt
import time:       550 |        550 |     pyomo.contrib.appsi.build
import time:       487 |        487 |         pyomo.contrib.community_detection.event_log
import time:       537 |       1024 |       pyomo.contrib.community_detection.community_graph
import time:       571 |       1594 |     pyomo.contrib.community_detection.detection
import time:       596 |        596 |     pyomo.contrib.example.foo
import time:       428 |        428 |     pyomo.contrib.example.bar
import time:       503 |        503 |     pyomo.contrib.example.plugins
import time:       619 |        619 |     pyomo.contrib.example.plugins.ex_plugin
import time:       570 |        570 |     pyomo.contrib.gdp_bounds.plugins
import time:       534 |        534 |     pyomo.contrib.gdp_bounds.compute_bounds
import time:       502 |        502 |         pyomo.contrib.gdpopt
import time:       489 |        489 |         pyomo.contrib.gdpopt.data_class
import time:       511 |        511 |           pyomo.contrib.mcpp
import time:       786 |       1296 |         pyomo.contrib.mcpp.pyomo_mcpp
import time:       586 |        586 |         pyomo.util.model_size
import time:       980 |       3851 |       pyomo.contrib.gdpopt.util
import time:       528 |        528 |         pyomo.contrib.satsolver
import time:       736 |       1264 |       pyomo.contrib.satsolver.satsolver
import time:       853 |       5966 |     pyomo.contrib.gdpbb.GDPbb
import time:       643 |        643 |       pyomo.contrib.gdpopt.branch_and_bound
import time:       455 |        455 |             pyomo.contrib.gdp_bounds.info
import time:       689 |       1144 |           pyomo.contrib.gdpopt.cut_generation
import time:       648 |        648 |           pyomo.contrib.gdpopt.mip_solve
import time:       683 |        683 |           pyomo.contrib.gdpopt.nlp_solve
import time:       513 |       2986 |         pyomo.contrib.gdpopt.master_initialize
import time:       546 |       3532 |       pyomo.contrib.gdpopt.config_options
import time:       517 |        517 |       pyomo.contrib.gdpopt.iterate
import time:      2190 |       6882 |     pyomo.contrib.gdpopt.GDPopt
import time:       453 |        453 |     pyomo.contrib.gjh.getGJH
import time:       507 |        507 |     pyomo.contrib.gjh.GJH
import time:       457 |        457 |     pyomo.contrib.mcpp.getMCPP
import time:       614 |        614 |     pyomo.contrib.mcpp.build
import time:       503 |        503 |         pyomo.contrib.mindtpy.cut_generation
import time:       808 |        808 |           pyomo.contrib.mindtpy.util
import time:       585 |       1392 |         pyomo.contrib.mindtpy.nlp_solve
import time:       552 |        552 |           pyomo.contrib.mindtpy.mip_solve
import time:       553 |       1105 |         pyomo.contrib.mindtpy.feasibility_pump
import time:       525 |       3525 |       pyomo.contrib.mindtpy.initialization
import time:       550 |        550 |       pyomo.contrib.mindtpy.iterate
import time:       587 |        587 |       pyomo.contrib.mindtpy.config_options
import time:      3831 |       8492 |     pyomo.contrib.mindtpy.MindtPy
import time:       554 |        554 |       pyomo.contrib.multistart.high_conf_stop
import time:       665 |        665 |       pyomo.contrib.multistart.reinit
import time:      1203 |       2421 |     pyomo.contrib.multistart.multi
import time:       745 |        745 |     pyomo.contrib.preprocessing.plugins
import time:       965 |        965 |     pyomo.contrib.preprocessing.plugins.deactivate_trivial_constraints
import time:       700 |        700 |     pyomo.contrib.preprocessing.plugins.detect_fixed_vars
import time:       556 |        556 |     pyomo.contrib.preprocessing.plugins.init_vars
import time:       561 |        561 |     pyomo.contrib.preprocessing.plugins.remove_zero_terms
import time:       912 |        912 |     pyomo.contrib.preprocessing.plugins.equality_propagate
import time:       746 |        746 |     pyomo.contrib.preprocessing.plugins.strip_bounds
import time:       547 |        547 |     pyomo.contrib.preprocessing.plugins.zero_sum_propagator
import time:       663 |        663 |     pyomo.contrib.preprocessing.plugins.bounds_to_vars
import time:       604 |        604 |     pyomo.contrib.preprocessing.plugins.var_aggregator
import time:       526 |        526 |       pyomo.contrib.preprocessing.util
import time:       752 |       1277 |     pyomo.contrib.preprocessing.plugins.induced_linearity
import time:       611 |        611 |     pyomo.contrib.preprocessing.plugins.constraint_tightener
import time:       634 |        634 |     pyomo.contrib.preprocessing.plugins.int_to_binary
import time:       737 |        737 |     pyomo.contrib.pynumero.intrinsic
import time:       510 |        510 |     pyomo.contrib.pynumero.build
import time:       569 |        569 |         pyomo.contrib.pynumero.algorithms
import time:       732 |       1300 |       pyomo.contrib.pynumero.algorithms.solvers
import time:      1114 |       2414 |     pyomo.contrib.pynumero.algorithms.solvers.cyipopt_solver
import time:       474 |        474 |       pyomo.contrib.trustregion.filter
import time:       542 |        542 |         pyomo.contrib.trustregion.util
import time:       624 |       1165 |       pyomo.contrib.trustregion.interface
import time:      1712 |       3350 |     pyomo.contrib.trustregion.TRF
import time:       833 |        833 |       pyomo.core.beta.dict_objects
import time:       834 |        834 |       pyomo.core.beta.list_objects
import time:       563 |       2229 |     pyomo.core.beta
import time:     31474 |     494720 |   pyomo.environ
import time:       674 |        674 |     networkx.lazy_imports
import time:       630 |        630 |     networkx.exception
import time:       909 |        909 |           _uuid
import time:      1027 |       1935 |         uuid
import time:       731 |       2665 |       networkx.utils.misc
import time:      1026 |       1026 |         gzip
import time:       919 |       1945 |       networkx.utils.decorators
import time:       543 |        543 |       networkx.utils.random_sequence
import time:       503 |        503 |       networkx.utils.union_find
import time:       491 |        491 |       networkx.utils.rcm
import time:       591 |        591 |       networkx.utils.heaps
import time:       488 |        488 |       networkx.utils.contextmanagers
import time:       607 |       7830 |     networkx.utils
import time:       591 |        591 |         networkx.convert
import time:       813 |        813 |         networkx.classes.coreviews
import time:      1610 |       1610 |         networkx.classes.reportviews
import time:       840 |       3853 |       networkx.classes.graph
import time:       637 |        637 |       networkx.classes.digraph
import time:       627 |        627 |       networkx.classes.multigraph
import time:       585 |        585 |       networkx.classes.multidigraph
import time:       533 |        533 |       networkx.classes.ordered
import time:       471 |        471 |           networkx.classes.filters
import time:       563 |       1034 |         networkx.classes.graphviews
import time:       602 |       1636 |       networkx.classes.function
import time:       651 |       8518 |     networkx.classes
import time:       611 |        611 |     networkx.convert_matrix
import time:       485 |        485 |     networkx.relabel
import time:       701 |        701 |       networkx.generators.atlas
import time:       565 |        565 |       networkx.generators.classic
import time:       518 |        518 |       networkx.generators.cographs
import time:       640 |        640 |       networkx.generators.community
import time:       658 |        658 |       networkx.generators.degree_seq
import time:       564 |        564 |       networkx.generators.directed
import time:       486 |        486 |       networkx.generators.duplication
import time:       450 |        450 |       networkx.generators.ego
import time:       515 |        515 |       networkx.generators.expanders
import time:       703 |        703 |       networkx.generators.geometric
import time:       636 |        636 |       networkx.generators.internet_as_graphs
import time:       632 |        632 |       networkx.generators.intersection
import time:       516 |        516 |       networkx.generators.interval_graph
import time:       528 |        528 |       networkx.generators.joint_degree_seq
import time:       621 |        621 |       networkx.generators.lattice
import time:       541 |        541 |       networkx.generators.line
import time:       486 |        486 |       networkx.generators.mycielski
import time:       491 |        491 |       networkx.generators.nonisomorphic_trees
import time:       480 |        480 |       networkx.generators.random_clustered
import time:       682 |        682 |       networkx.generators.random_graphs
import time:       657 |        657 |       networkx.generators.small
import time:       543 |        543 |       networkx.generators.social
import time:       476 |        476 |       networkx.generators.sudoku
import time:       506 |        506 |       networkx.generators.spectral_graph_forge
import time:       492 |        492 |       networkx.generators.stochastic
import time:       500 |        500 |       networkx.generators.trees
import time:       463 |        463 |       networkx.generators.triads
import time:       879 |      15915 |     networkx.generators
import time:       724 |        724 |       networkx.readwrite.adjlist
import time:       493 |        493 |       networkx.readwrite.multiline_adjlist
import time:       505 |        505 |       networkx.readwrite.edgelist
import time:       494 |        494 |       networkx.readwrite.gpickle
import time:       498 |        498 |       networkx.readwrite.pajek
import time:       491 |        491 |       networkx.readwrite.leda
import time:       686 |        686 |         networkx.readwrite.graph6
import time:       531 |       1216 |       networkx.readwrite.sparse6
import time:      1468 |       1468 |             html.entities
import time:      1146 |       2614 |           html
import time:        28 |       2641 |         html.entities
import time:       911 |       3552 |       networkx.readwrite.gml
import time:       789 |        789 |       networkx.readwrite.graphml
import time:       848 |        848 |             xml
import time:       678 |       1526 |           xml.etree
import time:       939 |        939 |           xml.etree.ElementPath
import time:      1254 |       1254 |             pyexpat
import time:      1344 |       2598 |           _elementtree
import time:      1141 |       6202 |         xml.etree.ElementTree
import time:       789 |       6991 |       networkx.readwrite.gexf
import time:       555 |        555 |       networkx.readwrite.nx_shp
import time:       728 |        728 |         networkx.readwrite.json_graph.node_link
import time:       586 |        586 |         networkx.readwrite.json_graph.adjacency
import time:       639 |        639 |         networkx.readwrite.json_graph.tree
import time:       535 |        535 |         networkx.readwrite.json_graph.jit
import time:       558 |        558 |         networkx.readwrite.json_graph.cytoscape
import time:       589 |       3633 |       networkx.readwrite.json_graph
import time:       599 |        599 |       networkx.readwrite.text
import time:       721 |      21255 |     networkx.readwrite
import time:       698 |        698 |         networkx.algorithms.assortativity.connectivity
import time:       480 |        480 |             networkx.algorithms.assortativity.pairs
import time:       636 |       1116 |           networkx.algorithms.assortativity.mixing
import time:       599 |       1715 |         networkx.algorithms.assortativity.correlation
import time:       506 |        506 |         networkx.algorithms.assortativity.neighbor_degree
import time:       883 |       3801 |       networkx.algorithms.assortativity
import time:       533 |        533 |       networkx.algorithms.asteroidal
import time:       537 |        537 |       networkx.algorithms.boundary
import time:       568 |        568 |       networkx.algorithms.bridges
import time:       574 |        574 |       networkx.algorithms.chains
import time:       735 |        735 |               networkx.algorithms.shortest_paths.generic
import time:       552 |        552 |               networkx.algorithms.shortest_paths.unweighted
import time:       731 |        731 |               networkx.algorithms.shortest_paths.weighted
import time:       545 |        545 |               networkx.algorithms.shortest_paths.astar
import time:       655 |        655 |               networkx.algorithms.shortest_paths.dense
import time:       638 |       3854 |             networkx.algorithms.shortest_paths
import time:        26 |       3880 |           networkx.algorithms.shortest_paths.weighted
import time:       778 |       4658 |         networkx.algorithms.centrality.betweenness
import time:       548 |        548 |         networkx.algorithms.centrality.betweenness_subset
import time:       561 |        561 |         networkx.algorithms.centrality.closeness
import time:       558 |        558 |           networkx.algorithms.centrality.flow_matrix
import time:       601 |       1159 |         networkx.algorithms.centrality.current_flow_betweenness
import time:       559 |        559 |         networkx.algorithms.centrality.current_flow_betweenness_subset
import time:       497 |        497 |         networkx.algorithms.centrality.current_flow_closeness
import time:       480 |        480 |         networkx.algorithms.centrality.degree_alg
import time:       482 |        482 |         networkx.algorithms.centrality.dispersion
import time:       523 |        523 |         networkx.algorithms.centrality.eigenvector
import time:       535 |        535 |         networkx.algorithms.centrality.group
import time:       462 |        462 |         networkx.algorithms.centrality.harmonic
import time:       507 |        507 |         networkx.algorithms.centrality.katz
import time:       550 |        550 |         networkx.algorithms.centrality.load
import time:       505 |        505 |         networkx.algorithms.centrality.percolation
import time:       560 |        560 |         networkx.algorithms.centrality.reaching
import time:       607 |        607 |         networkx.algorithms.centrality.second_order
import time:       517 |        517 |         networkx.algorithms.centrality.subgraph_alg
import time:       510 |        510 |         networkx.algorithms.centrality.trophic
import time:       464 |        464 |         networkx.algorithms.centrality.voterank_alg
import time:       860 |      15535 |       networkx.algorithms.centrality
import time:       655 |        655 |           networkx.algorithms.components.connected
import time:       537 |        537 |           networkx.algorithms.components.strongly_connected
import time:       551 |        551 |           networkx.algorithms.components.weakly_connected
import time:       499 |        499 |           networkx.algorithms.components.attracting
import time:       515 |        515 |           networkx.algorithms.components.biconnected
import time:       458 |        458 |           networkx.algorithms.components.semiconnected
import time:       595 |       3806 |         networkx.algorithms.components
import time:       649 |       4455 |       networkx.algorithms.chordal
import time:       600 |        600 |       networkx.algorithms.cluster
import time:       594 |        594 |       networkx.algorithms.clique
import time:       491 |        491 |       networkx.algorithms.communicability_alg
import time:       746 |        746 |         networkx.algorithms.coloring.greedy_coloring
import time:       524 |        524 |         networkx.algorithms.coloring.equitable_coloring
import time:       545 |       1813 |       networkx.algorithms.coloring
import time:      1113 |       1113 |       networkx.algorithms.core
import time:       509 |        509 |       networkx.algorithms.covering
import time:       599 |        599 |       networkx.algorithms.cycles
import time:       492 |        492 |       networkx.algorithms.cuts
import time:       529 |        529 |       networkx.algorithms.d_separation
import time:       624 |        624 |       networkx.algorithms.dag
import time:       579 |        579 |       networkx.algorithms.distance_measures
import time:      9007 |       9007 |       networkx.algorithms.distance_regular
import time:       834 |        834 |       networkx.algorithms.dominance
import time:       577 |        577 |       networkx.algorithms.dominating
import time:       558 |        558 |       networkx.algorithms.efficiency_measures
import time:       648 |        648 |       networkx.algorithms.euler
import time:       544 |        544 |       networkx.algorithms.graphical
import time:       597 |        597 |       networkx.algorithms.hierarchy
import time:       570 |        570 |       networkx.algorithms.hybrid
import time:       720 |        720 |         networkx.algorithms.link_analysis.hits_alg
import time:       615 |        615 |         networkx.algorithms.link_analysis.pagerank_alg
import time:       621 |       1954 |       networkx.algorithms.link_analysis
import time:       672 |        672 |       networkx.algorithms.link_prediction
import time:       729 |        729 |       networkx.algorithms.lowest_common_ancestors
import time:       560 |        560 |       networkx.algorithms.isolate
import time:       651 |        651 |       networkx.algorithms.matching
import time:       761 |        761 |         networkx.algorithms.minors.contraction
import time:       603 |       1363 |       networkx.algorithms.minors
import time:       478 |        478 |       networkx.algorithms.mis
import time:       483 |        483 |       networkx.algorithms.moral
import time:       498 |        498 |       networkx.algorithms.non_randomness
import time:       643 |        643 |         networkx.algorithms.operators.all
import time:       488 |        488 |         networkx.algorithms.operators.binary
import time:       536 |        536 |         networkx.algorithms.operators.product
import time:       494 |        494 |         networkx.algorithms.operators.unary
import time:       574 |       2733 |       networkx.algorithms.operators
import time:       788 |        788 |       networkx.algorithms.planarity
import time:       510 |        510 |       networkx.algorithms.planar_drawing
import time:       501 |        501 |       networkx.algorithms.reciprocity
import time:       526 |        526 |       networkx.algorithms.regular
import time:       517 |        517 |       networkx.algorithms.richclub
import time:       705 |        705 |       networkx.algorithms.similarity
import time:       522 |        522 |       networkx.algorithms.graph_hashing
import time:       651 |        651 |       networkx.algorithms.simple_paths
import time:       644 |        644 |       networkx.algorithms.smallworld
import time:       489 |        489 |       networkx.algorithms.smetric
import time:       511 |        511 |       networkx.algorithms.structuralholes
import time:       537 |        537 |       networkx.algorithms.sparsifiers
import time:       539 |        539 |       networkx.algorithms.summarization
import time:       501 |        501 |       networkx.algorithms.swap
import time:       496 |        496 |           networkx.algorithms.traversal.breadth_first_search
import time:       698 |       1194 |         networkx.algorithms.traversal.beamsearch
import time:       482 |        482 |         networkx.algorithms.traversal.depth_first_search
import time:       642 |        642 |         networkx.algorithms.traversal.edgedfs
import time:       583 |        583 |         networkx.algorithms.traversal.edgebfs
import time:       611 |       3510 |       networkx.algorithms.traversal
import time:       750 |        750 |       networkx.algorithms.triads
import time:       509 |        509 |       networkx.algorithms.vitality
import time:       518 |        518 |       networkx.algorithms.voronoi
import time:       451 |        451 |       networkx.algorithms.wiener
import time:       523 |        523 |       networkx.algorithms.polynomials
import time:       630 |        630 |         networkx.algorithms.approximation.clustering_coefficient
import time:       468 |        468 |           networkx.algorithms.approximation.ramsey
import time:       581 |       1048 |         networkx.algorithms.approximation.clique
import time:       504 |        504 |         networkx.algorithms.approximation.connectivity
import time:       574 |        574 |         networkx.algorithms.approximation.distance_measures
import time:       580 |        580 |         networkx.algorithms.approximation.dominating_set
import time:       680 |        680 |         networkx.algorithms.approximation.kcomponents
import time:       480 |        480 |         networkx.algorithms.approximation.matching
import time:       506 |        506 |         networkx.algorithms.approximation.steinertree
import time:      1282 |       1282 |                 dataclasses
import time:      1045 |       1045 |                   _queue
import time:       931 |       1976 |                 queue
import time:       687 |        687 |                 networkx.algorithms.tree.recognition
import time:      1409 |       5353 |               networkx.algorithms.tree.branchings
import time:       623 |        623 |               networkx.algorithms.tree.coding
import time:      1223 |       1223 |               networkx.algorithms.tree.mst
import time:       501 |        501 |               networkx.algorithms.tree.operations
import time:       540 |        540 |               networkx.algorithms.tree.decomposition
import time:       593 |       8829 |             networkx.algorithms.tree
import time:        27 |       8856 |           networkx.algorithms.tree.mst
import time:       767 |       9623 |         networkx.algorithms.approximation.traveling_salesman
import time:       618 |        618 |         networkx.algorithms.approximation.treewidth
import time:       549 |        549 |         networkx.algorithms.approximation.vertex_cover
import time:       575 |        575 |         networkx.algorithms.approximation.maxcut
import time:       676 |      17038 |       networkx.algorithms.approximation
import time:       681 |        681 |         networkx.algorithms.bipartite.basic
import time:       470 |        470 |         networkx.algorithms.bipartite.centrality
import time:       494 |        494 |         networkx.algorithms.bipartite.cluster
import time:       523 |        523 |             networkx.algorithms.bipartite.matrix
import time:       529 |       1052 |           networkx.algorithms.bipartite.matching
import time:       490 |       1541 |         networkx.algorithms.bipartite.covering
import time:       515 |        515 |         networkx.algorithms.bipartite.edgelist
import time:       526 |        526 |         networkx.algorithms.bipartite.projection
import time:       497 |        497 |         networkx.algorithms.bipartite.redundancy
import time:       452 |        452 |         networkx.algorithms.bipartite.spectral
import time:       562 |        562 |         networkx.algorithms.bipartite.generators
import time:       665 |       6398 |       networkx.algorithms.bipartite
import time:       590 |        590 |       networkx.algorithms.node_classification
import time:       732 |        732 |         networkx.algorithms.community.asyn_fluid
import time:       466 |        466 |         networkx.algorithms.community.centrality
import time:       465 |        465 |         networkx.algorithms.community.kclique
import time:       448 |        448 |           networkx.algorithms.community.community_utils
import time:       512 |        959 |         networkx.algorithms.community.kernighan_lin
import time:       518 |        518 |         networkx.algorithms.community.label_propagation
import time:       507 |        507 |         networkx.algorithms.community.lukes
import time:       596 |        596 |           networkx.algorithms.community.quality
import time:       925 |        925 |           networkx.utils.mapped_queue
import time:       574 |       2094 |         networkx.algorithms.community.modularity_max
import time:      1679 |       1679 |         networkx.algorithms.community.louvain
import time:       687 |       8105 |       networkx.algorithms.community
import time:      1188 |       1188 |             networkx.algorithms.flow.utils
import time:      1056 |       2244 |           networkx.algorithms.flow.boykovkolmogorov
import time:       916 |        916 |           networkx.algorithms.flow.dinitz_alg
import time:       911 |        911 |           networkx.algorithms.flow.edmondskarp
import time:       752 |        752 |           networkx.algorithms.flow.preflowpush
import time:       785 |        785 |           networkx.algorithms.flow.shortestaugmentingpath
import time:      1015 |       6621 |         networkx.algorithms.flow.maxflow
import time:       716 |        716 |         networkx.algorithms.flow.mincost
import time:       592 |        592 |         networkx.algorithms.flow.gomory_hu
import time:       675 |        675 |         networkx.algorithms.flow.capacityscaling
import time:       711 |        711 |         networkx.algorithms.flow.networksimplex
import time:      1338 |      10652 |       networkx.algorithms.flow
import time:       839 |        839 |         networkx.algorithms.isomorphism.isomorph
import time:       781 |        781 |           networkx.algorithms.isomorphism.isomorphvf2
import time:       919 |       1700 |         networkx.algorithms.isomorphism.vf2userfunc
import time:       985 |        985 |         networkx.algorithms.isomorphism.matchhelpers
import time:       767 |        767 |         networkx.algorithms.isomorphism.temporalisomorphvf2
import time:       786 |        786 |         networkx.algorithms.isomorphism.ismags
import time:       780 |        780 |         networkx.algorithms.isomorphism.tree_isomorphism
import time:       942 |       6797 |       networkx.algorithms.isomorphism
import time:       740 |        740 |       networkx.algorithms.tournament
import time:       522 |        522 |           networkx.algorithms.connectivity.utils
import time:       693 |       1215 |         networkx.algorithms.connectivity.connectivity
import time:       617 |        617 |         networkx.algorithms.connectivity.cuts
import time:       805 |        805 |         networkx.algorithms.connectivity.edge_augmentation
import time:       834 |        834 |         networkx.algorithms.connectivity.edge_kcomponents
import time:       575 |        575 |         networkx.algorithms.connectivity.disjoint_paths
import time:       648 |        648 |         networkx.algorithms.connectivity.kcomponents
import time:       620 |        620 |         networkx.algorithms.connectivity.kcutsets
import time:       623 |        623 |         networkx.algorithms.connectivity.stoerwagner
import time:       662 |       6594 |       networkx.algorithms.connectivity
import time:      1818 |     130303 |     networkx.algorithms
import time:       790 |        790 |       networkx.linalg.attrmatrix
import time:      1350 |       1350 |       networkx.linalg.spectrum
import time:      1052 |       1052 |       networkx.linalg.graphmatrix
import time:      1062 |       1062 |       networkx.linalg.laplacianmatrix
import time:      1377 |       1377 |       networkx.linalg.algebraicconnectivity
import time:       900 |        900 |       networkx.linalg.modularitymatrix
import time:       748 |        748 |       networkx.linalg.bethehessianmatrix
import time:       985 |       8262 |     networkx.linalg
import time:       715 |        715 |         networkx.testing.utils
import time:       551 |        551 |         networkx.testing.test
import time:       964 |       2229 |       networkx.testing
import time:        27 |       2256 |     networkx.testing.test
import time:       816 |        816 |       networkx.drawing.layout
import time:       751 |        751 |       networkx.drawing.nx_pylab
import time:       658 |        658 |       networkx.drawing.nx_agraph
import time:       647 |        647 |       networkx.drawing.nx_pydot
import time:       689 |       3560 |     networkx.drawing
import time:      1482 |     201774 |   networkx
import time:      1508 |       1508 |         pytz.exceptions
import time:      1241 |       1241 |         pytz.lazy
import time:      1287 |       1287 |         pytz.tzinfo
import time:      1057 |       1057 |         pytz.tzfile
import time:      3452 |       8543 |       pytz
import time:      1319 |       1319 |         dateutil._version
import time:      2063 |       3381 |       dateutil
import time:      3814 |       3814 |         pandas._typing
import time:      1901 |       1901 |                               pandas._libs.tslibs.dtypes
import time:      1239 |       1239 |                                 pandas._libs.tslibs.base
import time:      1206 |       1206 |                                   pandas._libs.tslibs.np_datetime
import time:      1471 |       2677 |                                 pandas._libs.tslibs.nattype
import time:      1757 |       1757 |                                       six
import time:        52 |         52 |                                       six.moves
import time:       715 |        715 |                                       dateutil.tz._common
import time:       585 |        585 |                                       dateutil.tz._factories
import time:      1069 |       1069 |                                         ctypes.wintypes
import time:       705 |       1773 |                                       dateutil.tz.win
import time:      1340 |       6220 |                                     dateutil.tz.tz
import time:       699 |       6918 |                                   dateutil.tz
import time:      2173 |       9091 |                                 pandas._libs.tslibs.timezones
import time:      1120 |       1120 |                                   pandas._libs.tslibs.ccalendar
import time:      1470 |       2589 |                                 pandas._libs.tslibs.tzconversion
import time:      1236 |       1236 |                                             pandas._config.config
import time:       667 |        667 |                                             pandas._config.dates
import time:       553 |        553 |                                             pandas._config.display
import time:       713 |       3168 |                                           pandas._config
import time:       666 |       3833 |                                         pandas._config.localization
import time:      1151 |       1151 |                                           backports_abc
import time:      1875 |       1875 |                                           calendar
import time:      2157 |       5182 |                                         pandas._libs.tslibs.strptime
import time:      1321 |      10334 |                                       pandas._libs.tslibs.fields
import time:      1646 |      11980 |                                     pandas._libs.tslibs.timedeltas
import time:       998 |        998 |                                       backports_abc
import time:      2036 |       3033 |                                     pandas._libs.tslibs.timestamps
import time:       935 |        935 |                                     backports_abc
import time:       516 |        516 |                                     dateutil.easter
import time:       468 |        468 |                                       dateutil._common
import time:       665 |       1133 |                                     dateutil.relativedelta
import time:      1089 |       1089 |                                     pandas._libs.properties
import time:      2419 |      21101 |                                   pandas._libs.tslibs.offsets
import time:      1101 |       1101 |                                   backports_abc
import time:      1236 |       1236 |                                     dateutil.parser._parser
import time:       757 |        757 |                                     dateutil.parser.isoparser
import time:       718 |       2711 |                                   dateutil.parser
import time:      1717 |      26629 |                                 pandas._libs.tslibs.parsing
import time:      1764 |      43987 |                               pandas._libs.tslibs.conversion
import time:      1616 |       1616 |                               pandas._libs.tslibs.period
import time:      1554 |       1554 |                               pandas._libs.tslibs.vectorized
import time:       747 |      49804 |                             pandas._libs.tslibs
import time:        30 |      49833 |                           pandas._libs.tslibs.nattype
import time:      1370 |       1370 |                           pandas._libs.ops_dispatch
import time:      1648 |      52851 |                         pandas._libs.missing
import time:      1652 |      54503 |                       pandas._libs.hashtable
import time:      1528 |       1528 |                       pandas._libs.algos
import time:      2061 |      58090 |                     pandas._libs.interval
import time:       660 |      58749 |                   pandas._libs
import time:        33 |      58782 |                 pandas._libs.properties
import time:       985 |      59766 |               pandas.util._decorators
import time:       652 |        652 |                   pandas.core
import time:       812 |       1464 |                 pandas.core.util
import time:      1118 |       1118 |                   pandas._libs.tslib
import time:      1570 |       2688 |                 pandas._libs.lib
import time:      1104 |       1104 |                 pandas._libs.hashing
import time:       643 |        643 |                   pandas.core.dtypes
import time:       537 |        537 |                   pandas.util._exceptions
import time:       808 |        808 |                     pandas.errors
import time:       950 |        950 |                     pandas.core.dtypes.generic
import time:       720 |       2477 |                   pandas.core.dtypes.base
import time:       618 |        618 |                     pandas.core.dtypes.inference
import time:      1483 |       2100 |                   pandas.core.dtypes.dtypes
import time:      1038 |       6793 |                 pandas.core.dtypes.common
import time:       876 |      12922 |               pandas.core.util.hashing
import time:       764 |      73451 |             pandas.util
import time:      1417 |      74867 |           pandas.util.version
import time:      1192 |      76059 |         pandas.compat.numpy
import time:      1013 |       1013 |           pyarrow
import time:       605 |       1618 |         pandas.compat.pyarrow
import time:      1523 |      83012 |       pandas.compat
import time:      1418 |       1418 |       pandas.core.config_init
import time:       724 |        724 |         pandas.core.dtypes.missing
import time:       577 |        577 |             pandas.util._validators
import time:       864 |       1440 |           pandas.core.dtypes.cast
import time:       569 |        569 |           pandas.core.dtypes.concat
import time:       586 |        586 |             pandas.core.array_algos
import time:       624 |        624 |               pandas.core.common
import time:       585 |       1209 |             pandas.core.construction
import time:       802 |       2596 |           pandas.core.array_algos.take
import time:       665 |        665 |             pandas.core.indexers.utils
import time:       623 |       1287 |           pandas.core.indexers
import time:      1920 |       7810 |         pandas.core.algorithms
import time:      1012 |       1012 |             pandas.compat.numpy.function
import time:       705 |        705 |               pandas.core.roperator
import time:      1421 |       1421 |                     pandas._libs.ops
import time:       775 |        775 |                       pandas.core.computation
import time:       783 |        783 |                         pandas.compat._optional
import time:      1722 |       2505 |                       pandas.core.computation.check
import time:       993 |       4273 |                     pandas.core.computation.expressions
import time:       631 |        631 |                     pandas.core.ops.missing
import time:       617 |        617 |                     pandas.core.ops.dispatch
import time:       588 |        588 |                     pandas.core.ops.invalid
import time:      1221 |       8750 |                   pandas.core.ops.array_ops
import time:       586 |        586 |                   pandas.core.ops.common
import time:       658 |        658 |                   pandas.core.ops.docstrings
import time:       578 |        578 |                   pandas.core.ops.mask_ops
import time:       620 |        620 |                   pandas.core.ops.methods
import time:      1060 |      12249 |                 pandas.core.ops
import time:        52 |      12300 |               pandas.core.ops.common
import time:      1982 |      14986 |             pandas.core.arraylike
import time:       790 |        790 |             pandas.core.missing
import time:       595 |        595 |             pandas.core.array_algos.quantile
import time:       700 |        700 |             pandas.core.sorting
import time:      1376 |      19457 |           pandas.core.arrays.base
import time:      2218 |       2218 |               pandas.core.nanops
import time:       692 |        692 |               pandas.core.array_algos.masked_reductions
import time:      1188 |       4098 |             pandas.core.arrays.masked
import time:       730 |       4827 |           pandas.core.arrays.boolean
import time:      1582 |       1582 |             pandas._libs.arrays
import time:       997 |        997 |             pandas.core.accessor
import time:       554 |        554 |               pandas.core.array_algos.transforms
import time:      1056 |       1610 |             pandas.core.arrays._mixins
import time:      1489 |       1489 |             pandas.core.base
import time:     10603 |      10603 |                 pandas.core.strings.accessor
import time:      1008 |       1008 |                 pandas.core.strings.base
import time:       771 |      12380 |               pandas.core.strings
import time:      5846 |       5846 |               unicodedata
import time:      1399 |      19625 |             pandas.core.strings.object_array
import time:       900 |        900 |               pandas.io
import time:      1074 |       1973 |             pandas.io.formats
import time:       965 |        965 |             pandas.io.formats.console
import time:      1557 |      29795 |           pandas.core.arrays.categorical
import time:       581 |        581 |               pandas.tseries
import time:       905 |        905 |               pandas.tseries.frequencies
import time:      1760 |       3246 |             pandas.core.arrays.datetimelike
import time:       521 |        521 |             pandas.core.arrays._ranges
import time:       684 |        684 |               pandas.core.arrays.numeric
import time:       602 |        602 |                 pandas.core.tools
import time:       822 |       1423 |               pandas.core.tools.numeric
