startHub,endHub,road_geometry
odessa,sanAngelo,"LINESTRING (-102.37520100000002 31.849165999999993, -102.35519500000001 31.827763000000015, -102.344116 31.830760999999992, -102.304 31.865189999999984, -102.120753 31.960321, -102.03744 31.982312999999976, -101.62028400000001 31.863908999999996, -101.473314 31.865421, -101.376379 31.847535000000008, -101.306039 31.807079999999985, -101.267785 31.801197000000027, -101.220018 31.80491299999998, -101.150802 31.84878500000002, -101.108077 31.857353999999997, -101.039982 31.855608000000004, -101.01781400000002 31.840599, -100.966455 31.834756999999986, -100.924645 31.796411000000003, -100.84169 31.76344099999999, -100.761521 31.684400000000032, -100.714134 31.66789799999998, -100.625439 31.593912999999997, -100.56858700000001 31.566566000000005, -100.501371 31.548145, -100.477967 31.498011000000005, -100.442561 31.46183)"
channelview,deerPark,"LINESTRING (-95.11203400000001 29.77785700000001, -95.114206 29.776708000000017, -95.124367 29.776975000000004, -95.124397 29.77848600000001, -95.149442 29.772368999999998, -95.151136 29.771411, -95.15176 29.769763000000005, -95.151248 29.768266000000025, -95.148095 29.76469499999998, -95.146302 29.759683000000006, -95.145755 29.739862999999993, -95.147954 29.721619000000018, -95.15371200000001 29.714051000000005, -95.153858 29.701704000000017, -95.138289 29.70070699999997, -95.131602 29.700822999999996, -95.127827 29.699802999999996, -95.123806 29.699880000000018, -95.123574 29.689536000000015, -95.11678 29.689660000000007)"
denton,carrolton,"LINESTRING (-97.13153 33.21658500000003, -97.128231 33.21644400000001, -97.128248 33.21345400000001, -97.131823 33.20579500000001, -97.103631 33.182987999999995, -97.065789 33.15696300000001, -97.038444 33.12853699999998, -97.028176 33.11133300000001, -97.026883 33.08238600000001, -97.015003 33.06439700000002, -97.008229 33.04479600000001, -96.990516 33.027505999999995, -96.977178 33.01012899999999, -96.930962 32.98274500000001, -96.890491 32.98486600000001, -96.89023000000002 32.97557099999998)"
abilene,arlington,"LINESTRING (-99.74142 32.44917499999999, -99.682526 32.445906999999984, -99.677418 32.460511999999994, -99.627467 32.43606700000002, -99.2143 32.37015399999999, -99.144135 32.379711, -98.834201 32.375488000000004, -98.643312 32.45866500000001, -98.621867 32.47563300000001, -98.532953 32.497779, -98.372783 32.513229, -98.228545 32.568517000000014, -98.17028000000002 32.57318299999998, -98.076005 32.628028000000015, -97.997589 32.687757, -97.885123 32.726198999999994, -97.798233 32.72715699999999, -97.700405 32.755053, -97.567331 32.720897999999984, -97.52183 32.72076500000001, -97.480344 32.73815800000003, -97.3652 32.732691, -97.237966 32.760568, -97.114926 32.75938900000003, -97.107721 32.73556200000002)"
medicalCenter,pearland,"LINESTRING (-95.393166 29.71178300000001, -95.390263 29.70587500000001, -95.385853 29.706096999999996, -95.37548 29.700599999999984, -95.38136 29.68011100000001, -95.382262 29.670023, -95.38743 29.657085999999996, -95.38717 29.596879999999995, -95.35668 29.598195999999994, -95.345977 29.600068999999998, -95.286829 29.59971200000002, -95.286107 29.563691000000002, -95.280329 29.56339999999999, -95.255329 29.552387)"
channelview,houston,"LINESTRING (-95.11203400000001 29.77785700000001, -95.114206 29.776708000000017, -95.124367 29.776975000000004, -95.124397 29.77848600000001, -95.155215 29.771152999999998, -95.18226100000001 29.77061300000001, -95.200145 29.771671999999995, -95.21879 29.770431000000006, -95.23615500000001 29.773856000000016, -95.252142 29.773839000000002, -95.278971 29.778109000000008, -95.290356 29.778004000000013, -95.301405 29.774423000000006, -95.322711 29.774206000000028, -95.336606 29.769155000000012, -95.350955 29.770164999999995, -95.35967200000002 29.767238000000006, -95.36539400000001 29.769401999999996, -95.367766 29.76496900000001, -95.372045 29.76223100000001, -95.370076 29.760066000000005, -95.36952 29.760779999999993)"
roundRock,waco,"LINESTRING (-97.67722 30.50904100000001, -97.685423 30.509570999999987, -97.691924 30.534654999999994, -97.691536 30.631860999999994, -97.659261 30.68278300000001, -97.610859 30.815486, -97.577517 30.88178800000001, -97.545482 30.920103999999988, -97.535617 30.955724000000004, -97.498828 30.991477999999987, -97.466502 31.046531000000005, -97.407167 31.084183999999986, -97.363712 31.098055000000024, -97.351779 31.121295000000003, -97.333521 31.129633000000002, -97.300964 31.211976999999987, -97.226865 31.329276000000004, -97.205883 31.40124299999998, -97.122567 31.550504000000004, -97.149504 31.571826)"
pearland,houston,"LINESTRING (-95.255329 29.552387, -95.280329 29.56339999999999, -95.286107 29.563691000000002, -95.285541 29.63086599999999, -95.288852 29.63861199999999, -95.2892 29.67727000000001, -95.292143 29.699792000000002, -95.373008 29.750573000000003, -95.374602 29.75761200000001, -95.372097 29.76359800000001, -95.36952 29.760779999999993)"
corpusChristi,sanAntonio,"LINESTRING (-97.40374 27.796403000000016, -97.49074700000001 27.806457000000016, -97.621281 27.86337099999999, -97.674383 27.977871999999998, -97.807565 28.08789999999998, -97.922431 28.25644099999999, -98.026909 28.338012000000003, -98.118709 28.470243000000004, -98.185713 28.525288000000003, -98.300182 28.763987000000007, -98.434154 28.911063000000006, -98.427082 29.174969000000008, -98.394903 29.298663, -98.494636 29.424580999999986)"
brownsville,mcallen,"LINESTRING (-97.499243 25.902087, -97.487477 25.90889200000002, -97.490947 25.927501000000007, -97.503817 25.94335700000003, -97.529473 26.003028000000015, -97.534532 26.031371999999994, -97.563704 26.058078999999996, -97.60253 26.1082, -97.629983 26.121926000000016, -97.717925 26.188427999999995, -97.77545 26.186896999999988, -97.818216 26.16597, -97.904587 26.158803999999996, -97.935287 26.151366999999997, -97.980402 26.172547999999995, -98.014823 26.172917000000005, -98.143363 26.194299, -98.162518 26.204067999999996, -98.186084 26.207636000000004, -98.229338 26.207703999999993)"
lubbock,odessa,"LINESTRING (-101.84501 33.584532000000024, -101.844385 33.457677000000004, -101.806839 33.371541, -101.793625 33.17320000000001, -101.807224 33.005652, -101.95123100000002 32.750225999999984, -101.926992 32.707264, -101.959202 32.69058599999999, -102.035191 32.52412999999998, -102.172399 32.329275000000024, -102.096992 32.09656199999999, -102.165169 32.08098600000001, -102.249074 32.02362099999999, -102.257354 31.96396000000001, -102.31029 31.898685000000018, -102.384901 31.882376000000015, -102.37520100000002 31.849165999999993)"
frisco,carrolton,"LINESTRING (-96.834661 33.150489000000015, -96.833652 33.150505, -96.832878 33.14584100000002, -96.839637 33.145890000000016, -96.839365 33.14190299999998, -96.836057 33.137689999999985, -96.828 33.134198999999995, -96.825395 33.13193299999999, -96.822492 33.12161499999999, -96.824637 33.06604900000001, -96.829913 33.055669, -96.829679 33.01429699999999, -96.831876 33.013104000000006, -96.845483 33.012682000000005, -96.849657 33.01082300000001, -96.864785 32.98928000000002, -96.868103 32.98676499999997, -96.872378 32.98581699999998, -96.890827 32.985976, -96.89023000000002 32.97557099999998)"
garland,dallas,"LINESTRING (-96.636544 32.91426999999999, -96.636494 32.912671, -96.648164 32.912781999999986, -96.649119 32.894426999999986, -96.678005 32.854149, -96.714752 32.823358, -96.72008 32.816841000000004, -96.729741 32.810925, -96.734154 32.80539099999999, -96.749681 32.79166099999998, -96.762174 32.79009100000003, -96.767488 32.786143, -96.771087 32.78148100000002, -96.780653 32.779804, -96.78605 32.77551400000002, -96.788669 32.775639000000005, -96.792774 32.77912700000002, -96.795125 32.77823500000001)"
theWoodlands,collegeStation,"LINESTRING (-95.4558 30.157999999999994, -95.466026 30.165927999999987, -95.465659 30.177320999999992, -95.478512 30.177248000000027, -95.494459 30.195402000000005, -95.544431 30.215759000000016, -95.56806200000001 30.216062999999995, -95.56819100000001 30.220913000000014, -95.681664 30.223134000000023, -95.697216 30.229288, -95.725857 30.22249799999997, -95.736879 30.231255000000004, -95.743974 30.247676999999996, -95.779216 30.250834000000005, -95.814128 30.289050999999994, -95.835158 30.295964999999992, -95.850499 30.32948, -95.859477 30.330715999999978, -95.866619 30.338345999999976, -95.884494 30.335983000000017, -95.906788 30.343102000000002, -95.928554 30.360484000000014, -95.944175 30.362136999999997, -95.994607 30.353035000000013, -96.0246 30.369485, -96.066594 30.37624400000002, -96.074327 30.401788000000014, -96.103862 30.41661499999998, -96.186816 30.496739999999996, -96.278766 30.576187000000004, -96.289702 30.591849000000014, -96.325896 30.62054399999999)"
lewisville,carrolton,"LINESTRING (-96.99573 33.047239999999995, -96.99648 33.047239999999995, -96.99648 33.04631, -96.99415 33.046320000000016, -96.99411 33.04299000000001, -96.992928 33.03991400000001, -96.99297 33.02923999999999, -96.988256 33.02453699999999, -96.978173 33.01113400000003, -96.97252 33.006808, -96.939329 32.98832300000002, -96.93047500000002 32.982612, -96.90954600000002 32.983124, -96.890491 32.98486600000001, -96.89023000000002 32.97557099999998)"
grandPrairie,fortWorth,"LINESTRING (-97.00678 32.74772500000001, -97.007938 32.74887799999999, -97.026126 32.74882200000002, -97.0284 32.752190999999996, -97.028395 32.76005000000001, -97.214675 32.75990100000001, -97.23834500000001 32.760776, -97.262637 32.757925000000014, -97.275277 32.751707, -97.280596 32.75027800000001, -97.324766 32.746607000000004, -97.32853 32.746756999999974, -97.330841 32.75095899999998)"
sanAngelo,sonora,"LINESTRING (-100.442561 31.46183, -100.433681 31.356576, -100.511358 31.172370999999995, -100.51213 31.059853000000018, -100.573328 30.986897000000003, -100.585301 30.879841000000003, -100.621655 30.837495000000008, -100.62165 30.753673000000017, -100.646863 30.67154300000002, -100.636381 30.616076000000017, -100.65198 30.575202999999995, -100.644136 30.56729600000001)"
elPaso,midland,"LINESTRING (-106.487465 31.759175999999997, -106.401293 31.782085999999993, -106.325534 31.740192999999998, -106.120807 31.506190000000004, -105.92496800000002 31.38135999999999, -105.708583 31.177596999999963, -105.531046 31.193054999999973, -105.484449 31.217500000000012, -104.88752800000002 31.036633000000005, -104.41399 31.073448999999993, -104.158797 31.060480000000005, -104.055671 31.08733000000001, -103.854665 31.26882600000003, -103.741872 31.339578999999993, -103.55618000000001 31.406314, -103.4978 31.395753000000006, -103.39817100000002 31.419484000000033, -103.331085 31.47412100000001, -102.87652 31.57925, -102.609902 31.730677000000018, -102.425407 31.81680499999999, -102.343584 31.83098699999999, -102.26455700000001 31.886003999999996, -102.073768 31.971726000000032, -102.074444 32.00002)"
sonora,abilene,"LINESTRING (-100.644136 30.56729600000001, -100.621841 30.83654900000001, -100.585301 30.879841000000003, -100.574218 30.984938000000003, -100.51213 31.059853000000018, -100.511358 31.172370999999995, -100.442753 31.319553000000013, -100.4333 31.390922999999994, -100.37374 31.386609000000007, -100.386225 31.47752199999998, -100.368806 31.57463000000001, -100.285489 31.739188999999996, -100.276567 32.01478000000001, -100.20827 32.070572, -100.126983 32.09718400000001, -100.04805 32.22053500000001, -99.92244700000002 32.28596900000001, -99.890747 32.338551, -99.785233 32.42763100000002, -99.784717 32.452008, -99.74142 32.44917499999999)"
irving,dallas,"LINESTRING (-96.95534 32.813521, -96.95695400000001 32.81348200000001, -96.952099 32.8128, -96.936812 32.81270600000002, -96.927593 32.80835100000001, -96.923476 32.809566999999994, -96.917256 32.809661000000006, -96.89855000000001 32.80817499999999, -96.867362 32.80786100000001, -96.861991 32.81168600000001, -96.851322 32.81136, -96.832632 32.802773000000016, -96.822805 32.800625999999994, -96.81606000000001 32.796631, -96.815121 32.79521799999998, -96.812196 32.78547300000001, -96.81199000000001 32.77940100000001, -96.81228500000002 32.776416000000005, -96.812871 32.77611899999997, -96.81274 32.77680300000002, -96.809076 32.778424, -96.807471 32.77810299999999, -96.802903 32.77907999999999, -96.802228 32.77672500000003, -96.795125 32.77823500000001)"
sonora,sanAntonio,"LINESTRING (-100.644136 30.56729600000001, -100.636217 30.559757999999984, -100.579 30.57153699999999, -100.52205300000001 30.563027000000005, -100.27319900000002 30.455975000000002, -100.210509 30.443250000000017, -100.013555 30.496375000000015, -99.930747 30.499784000000002, -99.898923 30.518749000000014, -99.852491 30.527758, -99.77894 30.51058099999998, -99.740802 30.48712700000001, -99.709973 30.435397999999985, -99.658199 30.405084000000006, -99.624573 30.396880000000028, -99.569511 30.318100000000015, -99.543631 30.299144000000005, -99.379999 30.204005000000013, -99.243796 30.164497999999995, -99.224913 30.128578999999995, -99.135618 30.074124999999988, -99.05698 30.067513, -99.035344 30.05380900000002, -99.010736 30.052161000000016, -98.896893 29.976541000000005, -98.884498 29.952645000000008, -98.825872 29.910935000000006, -98.791015 29.86721499999998, -98.755887 29.820717999999992, -98.749064 29.788481999999988, -98.664292 29.717549999999985, -98.613783 29.634903000000026, -98.584856 29.549363, -98.557035 29.525681000000002, -98.544744 29.487793000000032, -98.517176 29.473964999999996, -98.514733 29.44288999999999, -98.494636 29.424580999999986)"
sonora,midland,"LINESTRING (-100.644136 30.56729600000001, -100.657449 30.583683, -100.748472 30.616619, -100.835021 30.620815999999987, -100.952245 30.662075000000005, -101.125311 30.702953000000008, -101.1637 30.710718000000007, -101.2015 30.706205999999995, -101.195155 30.749633999999986, -101.26797 30.785514999999975, -101.414419 30.908832999999984, -101.4607 30.917166999999985, -101.467378 31.191704000000016, -101.661466 31.23158899999997, -101.898684 31.237401000000006, -101.933158 31.226129000000014, -101.944415 31.248406, -101.936096 31.48565700000001, -102.025909 31.763394000000027, -102.02809100000002 31.82580400000001, -102.077537 31.983499000000013, -102.074444 32.00002)"
freeport,brazoria,"LINESTRING (-95.344297 28.949728999999984, -95.342263 28.955798999999995, -95.344161 28.959526999999998, -95.354478 28.959954999999994, -95.370692 28.96922399999999, -95.386228 29.001079000000008, -95.403064 29.009556999999987, -95.419234 29.01007, -95.429984 29.014196999999996, -95.439987 29.03016300000001, -95.453051 29.039212000000003, -95.454415 29.047058000000007, -95.463615 29.048698000000016, -95.470162 29.047568999999985, -95.475802 29.049234999999996, -95.487235 29.049089, -95.496854 29.053951999999995, -95.515384 29.05377899999999, -95.550999 29.059318, -95.554647 29.058036999999985, -95.560991 29.050110999999987)"
baytown,laPorte,"LINESTRING (-94.996356 29.72870400000001, -94.995411 29.72760799999999, -94.996479 29.72522299999995, -94.992159 29.723723000000003, -94.99481 29.720002999999995, -95.000666 29.714121000000013, -95.013978 29.70607800000001, -95.026718 29.695766000000006, -95.029786 29.691920999999994, -95.030567 29.68883499999998, -95.030519 29.683665000000005, -95.029299 29.660774000000007, -95.030506 29.652240000000003, -95.02454 29.65249)"
irving,fortWorth,"LINESTRING (-96.95534 32.813521, -96.964233 32.81873699999998, -96.968795 32.825609, -96.986395 32.832568, -96.99109200000001 32.83745100000001, -97.044952 32.83724399999998, -97.056278 32.83896800000003, -97.069995 32.83733500000001, -97.082967 32.839022, -97.143755 32.83712900000001, -97.156256 32.84035799999999, -97.192397 32.83856500000001, -97.205553 32.83120799999999, -97.206207 32.81789599999999, -97.213285 32.804810999999994, -97.238999 32.79378999999999, -97.261445 32.787561, -97.30223 32.76832299999999, -97.316916 32.76622400000001, -97.319387 32.75730900000002, -97.326694 32.75551899999999, -97.330841 32.75095899999998)"
roundRock,austin,"LINESTRING (-97.67722 30.50904100000001, -97.686724 30.509870000000006, -97.678062 30.493003, -97.666291 30.454002, -97.675131 30.405779999999986, -97.671688 30.393800000000006, -97.674124 30.381750999999994, -97.704604 30.332268000000006, -97.70896 30.31219600000001, -97.734343 30.267745000000016, -97.74211700000001 30.26991399999999, -97.742987 30.26758899999999)"
elPaso,vanHorn,"LINESTRING (-106.487465 31.759175999999997, -106.463518 31.77774800000001, -106.401293 31.782085999999993, -106.325534 31.740192999999998, -106.245405 31.666584, -106.120807 31.506190000000004, -105.92496800000002 31.38135999999999, -105.87917500000002 31.329219000000002, -105.79947 31.27740399999999, -105.785698 31.235677000000017, -105.709641 31.17795900000001, -105.658359 31.171079000000013, -105.591474 31.196919000000005, -105.531349 31.193002000000014, -105.484449 31.217500000000012, -105.452663 31.198470000000004, -105.052396 31.089121, -104.90131600000001 31.03873599999998, -104.830842 31.04194099999997)"
